	pred	se
1	1712819.782	35783.49084
2	1658746.353	44661.17892
3	1875568.662	53692.25868
4	1783561.523	60908.11357
5	1920401.704	67507.98544
6	1878572.602	73469.93021
7	1965383.075	78998.21872
8	1923194.615	84159.34458
9	1738394.959	89023.29859
10	1801568.406	93634.4295
11	1826349.917	98029.0617
12	1895340.807	102234.9092
13	1897610.827	118712.9449
14	1850287.118	129767.4207
15	2040044.556	140982.8668
16	1959522.219	151038.5031
17	2079281.308	160570.6555
18	2042673.528	169533.8173
19	2118647.873	178057.3234
20	2081725.592	186187.4711
21	1919993.578	193978.3258
22	1975281.39	201467.7481
23	1996969.547	208688.6879
24	2057348.64	215667.9522
